"sentiment","content"
"fun","RIP leonardo. You were a great mini fiddler crab"
"fun","That's awesome! We have that this weekend too but I can't go because I'm moving this Sat.I should be a lot of fun though"
"fun","Lettuce ; spinach does best in cool weather.. I live in florida..not much luck growing those.."
"fun","I know I enjoy watching you two on twitter. About as entertaining as the comic.That I miss"
"fun","was playing street fighter IV and Seth Raped me"
"fun","hell yeah! i missed u last nitelol do u like my opinion?"
"fun","is it unny today or not? taking too long to decide haha. i wna get a tan"
"fun","I just watchedpounds, maaaannnnnnnnn!"
"fun","and I was just gonna ask you if you wanted to go to CLUB Hidden House on sat night. hehe."
"fun","aww-that's my last one. Roo-Oop"
"fun","said no...she'll b @ home in mins to tweet u lol"
"fun","Listening to some nice music.. I think I should go to bed now so I get nice and rested but i'll miss Russel Brand's Ponderland"
"fun","Walking to work on a gloriously sunny day. Going to be a good weekend in which I will burn as always even with suncream on#fb"
"fun","LOL i know! i only get to read it sometimes though cos my dad always chucks it out before he gets home"
"fun","lol yeahhaha. yeah, things are okay, pretty much the same. slowly sorting out everything lol. exams are coming D: haha"
"fun","http://twitpic.com/g - is on her last day at METRO magazineTa-ta, dream job. (PS: June issue out now. Czech it out!)"
"fun","nuhhhh no info on ticketek yetHeaps excited though! I dont care how much but I hope it isn't too much.."
"fun","Yay! Thank you.. Feels like ur yelling at usLOL"
"fun","haha! nice! Have fun doll! Hopefully I'll see ya soon! I miss ur face!"
"fun","yummy chocolate cake..wish even i got one for my b'day!!anybody listening???"
"fun","i feel like red lea now"
"fun","Five o'clock can't come any faster"
"fun","Planning a road trip down to San Diego- With a detour into Vegas to celebrate my birthday! Too bad it'swks awayI want to go now!"
"fun","Heading off to Poole around ish,has some serious gardening to do before we go, no Tweetdeck til Sunday evening,"
"fun","I'm saying goodbye to Sydney for a few days, and Hello to Rapeville.... I'll miss pretty"
"fun","Whats up today..? missed the #coffeeclub that day"
"fun","I wanna see the Jonas Brothers in concert.."
"fun","dooood! it is working! tea time later? are you working tonight?"
"fun","you're missing out, bb! i'm such a cereal nut, i think i like every kind available."
"fun","oh, joy. We have the Elmo potty video too."
"fun","leather shoes and bags are so hard to resist.."
"fun","I want to play parachute games."
"fun","What a beautiful day! Going to edit Lisa Maxwell interview from her last day at The Bill now. Shame I can't see my laptop screen outside"
"fun","I've totally been MIA, i knowbad me"
"fun","Working at homeWifi not reaching the garden"
"fun","oh no! I woke up accidentally.how can we get you to fall asleep? Should I scare you with P or P stories? JK!"
"fun","home sweet home? i think no! huaaaa"
"fun","Ulcer the Musical! It's ulcer-rific! uls-tacular?! Stomach bleeding fun for the whole family!! (apparently even two drinks is a no no)"
"fun","everyone else get all the good stuff!!"
"fun","well just remember that tmrw is another day and hopefully won't be as craptastic. sorry girrrrl"
"fun","Travel trade stalwart, David Steele of City Cruises marks his retirement with a Thames Cruise Party tonight - press day means I miss out"
"fun","I will watch that at some point. Have it on hd but Stace also wants to see it in hd so waiting"
"fun","Good Morning. It's Friday and the start of my work weekBut... Lakers are going to take the th W tonight. Woohoo GO LAKERS!!!!"
"fun","just spent all day putting up a trampoline but is now too tired to use it...it is very cool though!!"
"fun","hahaha tempting! but nvm la. i'm quite a klutz.i actually fare better with my hp cam LOL"
"fun","Its already hot outside...thank goodness my car has amazing a.c!!! cyalater!!! off to work!!!"
"fun","Demoing with Gary burr!!! So excited to get some &quot;girls&quot; music on tape!! Missing Tayla"
"fun","i got coupons to Popeye's chicken but I'll probably end up getting a burrito at freshii - this salad joint. healthy"
"fun","Mucking about on Guitar Rig . The demo, that is"
"fun","That's always fun to clean up"
"fun","I have no text plan on my phone.I'll send the #, though, you're more than welcome to call!"
"fun","we told you guys!we are just going for a while to get our passes then we are going to see UP downtown disney! Yay!"
"fun","Listening to Music Box.When Mariah could still sing"
"fun","totally! except we can't ride on the sidewalk like when we were kids.a lot more safe than on the road with crazy drivers."
"fun","that's great! i was never so good at the jump roping..."
"fun","says ...tomorrow is another day...http://plurk.com/p/xpxh"
"fun","have fun!!!!i dont have school for a while, wish i could go to germany... its likehour awayxoxo"
"fun","I dunno man. How bout some wendy's?? mmmmmm we dont gots that in H-town"
"fun","Have a cold one for me, I'm just off to work now"
"fun","yeah it was facefacenite we went to palisades to see star trek. i can't remember it. i said it while we were in the car"
"fun","I wanna go to a SexxieLuv party though"
"fun","Yesterday and today was my weekend....back to work moro!"
"fun","Hugs to hubby! I'll probably be in the same place come the st of September."
"fun","Toooooom! Do a tour in the Philippines, pleeease?I'm risking my health to get your reply. Haha!"
"fun","I *really* want to go to theconcert tomorrow!!"
"fun","wzzzzzzzzzup?! its derrek! we r just starting band practice. Jayk Skylar is leaving for california today. lucky."
"fun","it was really good sally! you should have beeeeen there!xxxx"
"fun","i'm playing good because i'm a big baby"
"fun","drag me to hell looks so freakin scarywatch terminator! it was really good."
"fun","We're dealing with Overactive Let-Down right now.http://bit.ly/ydHU"
"fun","Such a busy day today!! Banbury Fair fashion show tonight and move into my apartment tomorrow! i have no started packing yet"
"fun","This morning I rode behind a guy with a bird cage containing a plastic Tyrannosaurus rex attached to his bicycle. I couldn't get a photo."
"fun","as long as you have someone to make out withlol"
"fun","Jus got back from a run up sunset blvd! My cuzin tried to kill me my legs are still movin and I'm sittin down!!"
"fun","tonight in party w/ my girls (minus vita)"
"fun","- Sorry only just seen this - how strange it seems only to happen from my iPhone - perhaps it is a problem with Twitterific"
"fun","Yaaaaay Friday.... Oh wait....I'm working TOMORROW"
"fun","i for one welcome our new cyber-criminal-overlords."
"fun","lol i don't get enough cause my dad won't let me, he keeps waking me up"
"fun","Lucky you! it's drizzling again. Mommy says the puddles are big enoughme to swim in, so no dog park today.."
"fun","Hmm announcing your summer shifts on facebook...you're cool! hahaha. Mate I think I've got sunstrokexxx"
"fun","Man i wish i could just bathe in my ice-cold sunkist right now.... But then i'd be sticky"
"fun","Speedbumps suck when u gotta piss!!"
"fun","well, someone told me it's only there for two weeksi'm going again next week with a friend IN SCHOOL TIME :p ..."
"fun","Everyone's talking about the goodies at #BEA.I wanna be there."
"fun","I know! D: I finally got my component cables for the PS in the other day and instead of playing P:FES I played OoT."
"fun","no email?just kidding, it can wait filling out form now... seriously."
"fun","sunniest day in ages and im in bed"
"fun","Watching Ellen Love her!! then doing the dishesand tanning ...it's gorgeous out!"
"fun","Getting ready for a going-away dessert reception for a colleague who's off to grad school."
"fun","I just had to look up endometriosis. Oy!"
"fun","Watching the Krystle vs. Alexis catfights on Youtube.. I miss Dynasty"
"fun","sorry about ur hair salon*hug* me and haydee can do ur hair again haha JK"
"fun","lol nttn much juss mad that its been raining all day, and to add to that i dnt think u following me.."
"fun","pop, idk how to reply to ur tweet from my phonelol but yeah my bday is in a few days. soooo excited!"
"fun","lol yea im thinkin bday bash ! but everybodys lame wants to sit in the house instead of qo wit melol"
"fun","awww Mary I wish I could come but I'm going away morrow"
"fun","it's friday! trying to find something to do"
"fun","ive got a cold too... It sucksand u were awesome in ipswitch xD"
"fun","Waiting for my momma so i can go to Chase and see what the hell they doin with my money. i miss WAMU"
"fun","now it's weekend! It's so great!I saw the rest of Twilight tonight, and i also have read fininshBreak for know.. Could I do that?"
"fun","is reminiscing about this time last yr when she was @ the BH listening to some awesome music! Shame it can't be repeated"
"fun","Is there going to be a New-Brunswick, Canada Drive? lol I live far far away"
"fun","napppinggg, then work-"
"fun","i nooi went to the zoo instead lol!! ru goin out night??? xx"
"fun","Watch Jay Leno tonite!!!It's his last day as the Tonite Show Host andLate Nite Leader"
"fun","I so much want to see the screen adaptation of Kick Ass, but once i found out Nick cage was in it, my heart sank"
"fun","omgggg!! Hawaii!! That's amazing!! I wanna live there"
"fun","Have you met me? (lol) MY MIDDLE NAME IS CREEPY FGS"
"fun",". i dont. LMFAO I WONDER."
"fun","sounds like Sonics...which I never had...and for the record, I say spicy bred buffalo wings w/ blu cheese ; beer"
"fun","yup"
"fun","Rice is ready to eat.Off now to watch Comet !The most important music price in germany.Wow n Lisa arrives around p.m.Stillhours"
"fun","I can't direct message you for my free lunch"
"fun","Maaaaaaaaajor headache. It's so gloomy outside!Just gonna lounge today. Whoopiiiiii."
"fun","nopebut the Ti looks super sweet!"
"fun","I want to go to the pub. Boooo."
"fun","on youtube watching taylor on the today show wish i was there !"
"fun","Leaving L.A.but had so much fun!"
"fun","no water park today? made me jealous looking at that pic"
"fun","Don't have the Will power to finish hour two of my work out"
"fun","good luck!!OH and I are playing inthe mixed knockout this week. Playing the pros yr old son playing off; top woman off"
"fun","Welcome to Minnesoooooooota.Free up some time this trip to catch up! Won't be at Cliquot Club though; they closed"
"fun","who will we make funof?!?!"
"fun","Im so excited about the MTV movie awards!!!even though I won't be thereI can't wait to watch them on tv and I hope..."
"fun","http://twitpic.com/qo - but a brown snake bit my duck named Elvisanyway ahaha Elvis is soo cutee!! And so is Nicho ..."
"fun","How about we play tomorrow?"
"fun","at first i thought bar life meant you were partying nonstop to catch up for the lastyears...lol shoulda known better"
"fun","I'm not sure why walking around in barnes and noble comforts me so much. O well now I'm off to work"
"fun","lol 'if u knew better, u'd do better, wouldnt wear Uggs in shoe weather...' awww RIP Stack B"
"fun","going to my bff's. haha. but thats in likehourssss sooooo...calllll me. actually darn, i have hw"
"fun","tried to do something funny on twitter but failed."
"fun","maybe one day I can be on your favorite producers listlol"
"fun","Have fun amorsote even tho u forgot my bday"
"fun","I need to sleep for a whole day to recover from this birthday!! I'm getting so old!!"
"fun","I'm SO thinking about skippin out to NY in the morning. . . but all of my plans were for tonightwell . . . most of them anyway."
"fun","haha soooo party tonight???"
"fun","yeah, I was always changing my hair color in High School.I've pretty much worn everything LOL. Some good, some baaaaaaaad"
"fun","yahyan:iaaaaaaaaaaaaan, i was just joking"
"fun","It was truly awful"
"fun","Lol I Sed Want to Not Ach Dress Up For No Reason. Pleaseeeeeeeeeeeeee Im Bored.Lol"
"fun","playing at my old school playground still the same except them lame ass got rid of the tire swing"
"fun","OK, time to head into Urban Outfitters to see what catches my eye, then head home, since this rain is hindering any more pics for the day"
"fun","is going to forgo Pub Night with the wife tonight. Tough week for both of us and neither is really up for it. Plus our neighbor died"
"fun","wants to go swimming"
"fun","white pointy shoes haha, and ah you got me excited about the enw drummeryoure mean!"
"fun","oh hell yeah lol. im a vegetarian tho but i still cooks the mean =X im a traitor"
"fun","@ greengoo: Haha, I don't have anyI have decided to see if making a grilled cheese on a George Foreman would work well..."
"fun","Yeahhhhhhhhhhhhh friday..and I work tomorrow"
"fun","im only onlol"
"fun","The Hangover: That movie is gonna be hilarious. wish i could see it with the crew"
"fun","Nursing my sick guniea pig back to healthand my cat is being jealous"
"fun","Um. Why can't I write smut tonight? I like smut. I want to write smut. Yet, nothing. No smut."
"fun","Saw the UCLA bookstore...now convinced that every single major university has a better bookstore thanHaving fun so far!"
"fun","I'm at the anime store iat rivercenter going crazy at all the Pokemon stuff. I wish I had money"
"fun","Lol what do you mean? I thought you were going to London for it? xD and it is yeaXx"
"fun","City Dippin iz u fun, so much eye candy out here...I remember y I missLOL"
"fun","Dayum, tweets r coming fast, so likely missing a lot.Plz DM, k?Oh, isreal?"
"fun","No you are not having my favorite drink without melol"
"fun","Oh, but Grease is on VH! It's almost over, thoughhttp://myloc.me/"
"fun","shud up! lol my device thing doesn't work"
"fun","just got sold out from UP"
"fun","joooooooooooooo!!!!!!!!!!!! studying!!!to be readdy to go to the party!!!If they let me go!!jajaja I think yeaahh!!! \m/!!"
"fun","Fun Friday night planned...... Spent at work"
"fun","Bought some little plastic personal wine bottles at Jewel, perfect for rooftop boozin'! Wish I didn't have to wait so long!"
"fun","Did you see the color of the sky and how it looks in Philly??It is yellowish/orangeish/brownish looks scary!!lol"
"fun","poker night instead of kate voegele.... i guess it'll do...."
"fun","ah mine is never home beforeI handed off the kids and grabbed the bottle of malibu and a coke..momma getting drinky :para"
"fun","lol, i've done that one bi'm a victimthat! lol"
"fun","i want to go out tonight, but i ain't go no money and no one to go withany takers???"
"fun","the good thing of having a fever is feeling cold, especially in such hot weather. I think I'm hallucinating lol."
"fun","friends of mine just meet you today..... I can't wait until it is my turn"
"fun","I cannot wait to go to FLORIDA!!"
"fun","All zombie songs are now dedicated to? http://blip.fm/~jbib"
"fun","Can't wait for SYTYCD tour with Ashleighhh ; Izzayyy"
"fun","aaahhh, showers are great"
"fun","Yeahhh you do that lol"
"fun","just watched JONAS. It was funny."
"fun","Come to Rochester with me and Nikki. Beer and a Hog Roast always helps."
"fun","looking forward to coffee and driving tomorrow. really"
"fun","http://twitpic.com/jz - I don't know why, but I LOLd."
"fun","Joey's getting a new lizard... This should be funx"
"fun","Weekend is over :\ Hope you all had a great weekend"
"fun","Sleepy Tabz is heading to bed.Fun night! Listened through the next episode of Joss'd!"
"fun","yeah so Prom Night is now the Craft (good movie)"
"fun","woOt!"
"fun","Hey girl. I'm a new follower - I think it's awesome you've gotten the chance to get so close to Donnie. Very cool!!"
"fun","well uhm i guess u pretty do now dont u? lol but it still sounded good"
"fun","Zelda Fans!!! pand_i - Zelda: The minnish cap, and a want for more music taste: Zelda = epicI;#.. http://tinyurl.com/djvop"
"fun","That's the Birthday Boy's iPod Touch and DSi set-up and sorted. Just to think I would have been happy with a ball + boots at that age!"
"fun","Awake still O_o, breeding for perfect or close to perfect IVs on a pikachudon't know what that means? Google it or wait for my articles"
"fun","Happy Star Wars Day. May the th be with you!Nice that we get a holiday to celebrate#fb"
"fun","Cape Town is beautiful! Sun is shining, amazing landscape and everything is &quot;easy going&quot;!"
"fun","also thanks for coming and playing the party games! The pics are good"
